Display Name,Category,Cost,Image Name,Short description,Long Description
Nike Air Hurricanes,Nike,$60.00,hurricanes,"Lighter than air, faster than fast","The nike air maxes are the best in the buisness, they allow the person to literally fly due to the lightenss of the shoes"
Nike Air Max 270,Nike,$160.00,Nike3,,"The eye-catching Max Air 270 unit and full Nike React foam midsole deliver unrivaled, all-day comfort. It's soft, minimal collar contours the heel for an amazing fit.Light as Air
Nike React technology delivers an extremely smooth ride, reduces weight and adds flexibility. Woven fabric provides a lightweight fit and feel.Modern Aesthetic
Lightweight, layered no-sew materials create a modern style and aesthetic.Product Details
Full heel-to-toe rubber coverage enhances durability
Speed lacing system with traditional tongue
Pull tab loop for easy entry"
Nike Air Zoom Pegasus,Nike,$120.00,Nike4,,"The iconic Nike Air Zoom Pegasus 36 returns with more perforations and engineered mesh in the upper that strategically target breathability across high-heat areas. A slimmer heel collar and tongue reduce bulk without compromising comfort, while exposed Flywire cables give you a snug fit at higher speeds.Benefits
Perforations on upper enhance breathability in forefoot and arch.
Full-length Zoom Air unit provides a smooth, responsive ride.
Slimmer design reduces bulk for a comfortable, conforming fit.
Exposed Flywire cables in the midfoot promote a snug fit at higher speeds.
Cushlon ST foam provides firm yet responsive cushioning.
High resiliency sockliner adapts to the contour of your foot for support.
Waffle pistons on outsole help absorb impact and provide multi-surface traction.
Reduced tongue weight from the Pegasus 35 conforms to your foot.
Heel collar tapers away around the Achilles tendon.Product Details
Weight: 9.58 oz. (men's size 10)
Last: MR-42
Offset: 10mm (12mm forefoot, 22mm heel)"
Zoom Freak 1 Slo,Nike,$120.00,Nike5,"FREAKISH SPEED, POWER AND CONTROL."," Get your freak on in Giannis Antetokounmpo's debut signature shoe, Nike's first ever for the international basketball sensation. The Zoom Freak 1 Soul Glo has the extra-responsive cushioning, forefoot lockdown, and multidirectional traction needed to complement his freakishly athletic game.  Double-Stacked Cushioning 2 Zoom Air units under the heel stacked on top of each other provide extra cushioning for hard impacts and extra responsiveness for getting back down court.  Forefoot Lockdown Internal bands lock down over the forefoot when you lace up, helping to keep you stable and fully contained.  Multidirectional Traction The geometric traction pattern provides grip for quick stops, starts, and changes of directions on court. A section of the outsole is inspired by roses in remembrance of Giannis' late father.  Family First Family is what's most important to Giannis. Design details on the midsole and outsole honor his parents and 4 brothers.  More Benefits A rubber clip extends from the outsole up the side for lateral support. The padded collar helps lock you in at the heel.  Product Details Signature details Soft, resilient foam midsole ""I AM MY FATHER'S LEGACY"" is molded into outsole Rubber outsole"
Kyrie 6 ,Nike,$130.00,Nike6,Quick to the cut,"Designed for Kyrie Irving's creative and unpredictable game, the Kyrie 6 focuses on comfort, control and energy return to help him go fast and stay fresh. Bouncy cushioning is paired with soft yet supportive foam for responsiveness and smooth heel-to-toe transitions, while the midfoot strap and plush, padded collar lock him in and help keep him a step ahead of the competition.  Sensational Responsiveness The Nike Air Zoom Turbo unit under the ball of the foot is curved, so it engages underfoot and when you push off your edges. The lightweight foam midsole is soft, supportive, and helps to smooth the heel-to-toe transition.  Locked In and Aligned An adjustable strap crosses over the laces to keep your foot stable over the footbed. The padded collar and heel counter lock in your ankle and help keep it aligned with your foot, so you can generate energy while making hard cuts.  Agile, All-Angle Traction A multi-angle blade pattern is designed to grip the court in all directions. Grippy material extends up the sidewall, giving you the traction to roll onto your edges and quickly move this way or that.  More Benefits Mesh forefoot material is lightweight and breathable. Plush, padded collar gives you a secure, ankle-conforming fit. External heel piece helps keep your ankle from slipping. Reinforced toe helps resist abrasion.  Product Details Leather, synthetic leather and textile upper materials Foam midsole Padded collar Oval laces"
Nike Air Max 90,Nike,$100.00,Nike7,COMFORT WITH ESCAPIST HERITAGE.,"The Nike Air Max 90 stays true to its OG running roots with the iconic waffle sole. Details and colors nod to the classic Lahar Escape Boot, delivering a vintage look from the wild.  Benefits Originally designed for performance running, the Max Air unit in the heel adds cushioning. The low-top design combines with a padded collar for a look that feels soft and comfortable. The rubber waffle sole adds traction. Stitched overlays and TPU accents add durability and the iconic '90s look you desire. Leather details and synthetic panels deliver a tough design inspired by the outdoors.  Product Details ""LAHAR"" is embroidered at the tongue Colorway is inspired by the Nike Lahar Escape Boot"
Nike React Elememt 87,Nike,$160.00,Nike8,"OUTDOOR-INSPIRED, ELEMENTAL COMFORT"," The Nike React Element 87 borrows design lines from trekking shoes and heritage runners like the Nike Internationalist, then adds its own reactive style with translucent details for an explosive look. Nike React technology adds the comfort of an extremely smooth ride to a shoe that's already groundbreaking.  Benefits Nike React technology delivers an extremely smooth ride. Textile and synthetic upper gives a lightweight look and feel. Colorways inspired by trekking shoes and outdoor adventures. Translucent rubber pods on the midsole/outsole provide durable traction."
Nike Air Max Plus 3,Nike,$190.00,Nike9,TUNED AIR. ROUND 3.,The Nike Air Max Plus III combines ultra-comfortable Tuned Air Technology with an energetic silhouette made famous by its predecessors. The III updates the look with TPU details fused to the upper while paying homage to the iconic color fade.  Benefits Air-Sole units in the heel and forefoot provide lightweight cushioning. A leather and mesh upper offers breathability and durability. A rubber outsole delivers excellent traction. An aggressive TPU heel clip provides structure and stability.
Nike Epic React Flyknit,Nike,$150.00,Nike10,INSTANT GO WITH EVERY STEP,"The Nike Epic React Flyknit 2 takes a step up from its predecessor with smooth, lightweight performance and a bold look. An updated Flyknit upper conforms to your foot with a minimal, supportive design. Underfoot, durable Nike React technology defies the odds by being both soft and responsive, for comfort that lasts as long as you can run.  Elevated Responsiveness Nike React foam has a lightweight, durable design that is also ultra-soft and incredibly springy. With every step, the foam responds to your foot by snapping back. The more energy you put into your step, the more you get in return.  Lightweight and Secure A lightweight Flyknit upper gives you plenty of stretch and airflow while you run. It conforms to your foot for support with every step.  A Stable Run The all-new molding at the heel was informed by runner feedback. It helps keep your foot stable, for an even more secure feel during your workout.  Brighter and Bolder Inspired by the 90s tech world, the design features brighter colors that pay homage to the hand-held gaming devices and desktop computers of that era.  More Benefits Inner sleeve provides easy entry. Contoured collar sits right below your ankle for a comfortable fit. Outsole pattern has rubber on the forefoot and heel for durable traction just where you need it. "
UA Charged Pursuit 2,UnderArmour,$75.00,UA1,,"NEUTRAL: For runners who need flexibility, cushioning & versatility  Engineered mesh upper is extremely lightweight & breathable, with strategic support where you need it Foam padding placed around your ankle collar & under the tongue for an incredibly comfortable fit & feel
Comfort sockliner molds to your foot with padding in the heel for ultimate cushioning at heel-strike
Charged Cushioning® midsole uses compression molded foam for ultimate responsiveness & durability
Tire inspired outsole pattern provides ultimate flex & superior traction
Offset: 8mm
Weight: 10.75oz
Imported"
